Titre;mois_sortie;annee_sortie;date_sortie;duree_min;genre1;réalisateur_1;actor_1;actor 2;note_spectators;Scer;tiolity 1;nomitions;language;real awards;first actor awards;Second actor awards
#No_Filter;5;2023;5 mai 2023;87;Epouvante-horreur;Michael Dupret;Hanh McIver;Jasmine Daoud;1,6;;Belgique;0;Anglais;;;
10;12;2022;22 décembre 2022;124;Drame;Karm Chawla;Viy Rajkumar;Anusha Rangath;;;Inde;0;-;;;
13 : La comédie musicale;8;2022;12 août 2022;94;Drame;Tamra Davis;Eli Golden;Josh Peck;2,6;Robert Horn;U.S.A.;0;Anglais;1;;0
13 Minutes;3;2022;23 mars 2022;;Policier;;Jimmy Waitman;;3;;U.S.A.;0;Anglais;;0;0
16 ans;1;2023;4 janvier 2023;94;Drame;Philippe Lioret;Sabri Levoye;Teïlo Azaïs;3,6;Philippe Lioret;France;1;Français;4;;0
1UP;7;2022;15 juillet 2022;100;Comédie;Kyle Newman;Paris Berelc;Taylor Zakhar Perez;2,2;Julia Yorks;Cada;0;Anglais;0;0;0
20th Century Girl;10;2022;octobre 2022;119;Drame;Woo-ri Bang;Yoo-jeong Kim;Hyo-ju Han;3,9;Woo-ri Bang;Corée du Sud;0;Coréen;;0;
365 jours : Au lendemain;4;2022;27 avril 2022;106;Drame;Barbara Bialowas;Michele Morrone;An-Maria Sieklucka;1,2;Tomasz Mandes;Pologne;2;Anglais, Italien, Polois;;;
365 Jours : L'Année d'Après;8;2022;19 août 2022;112;Drame;Barbara Bialowas;Michele Morrone;An-Maria Sieklucka;1,3;Tomasz Mandes;Pologne;2;Polois;;;
47 Ronin - Le Sabre de la Vengeance;1;2023;25 janvier 2023;106;Action;Ron Yuan;An Aka;Mark Dacascos;2,1;John Swetm;U.S.A.;0;Anglais;0;0;0
99 Moons;5;2023;10 mai 2023;111;Drame;Jan Gassmann;Valenti Di Pace;Dominik Fellmann;2,6;Jan Gassmann;Suisse;1;Suisse allemand;3;;
À chacun son secret;12;2022;1 décembre 2022;90;Policier;Francis Meletzky;Franziska Hartmann;Stephan Szasz;3,3;Elke Rössler;Allemagne;0;Allemand;0;;0
A Day to Die;6;2022;22 juin 2022;105;Action;Wes Miller;Kevin Dillon;Bruce Willis;1,3;Scott Mallace;U.S.A.;0;Anglais;;6;1
A E I O U - L'alphabet rapide de l'amour;12;2022;21 décembre 2022;104;Comédie;Nicolette Krebitz;Sophie Rois;Udo Kier;2;Nicolette Krebitz;Allemagne;9;Allemand, Français;0;1;1
A Human Position;1;2023;30 janvier 2023;78;Drame;Anders Emblem;Amalie Ibsen Jensen;Maria Agwumaro;2,8;Anders Emblem;Norvège;0;Norvégien;;;
A Jazzman's Blues;9;2022;23 septembre 2022;127;Policier;Tyler Perry;Joshua Boone;Amirah Vann;3,5;Tyler Perry;U.S.A.;0;Anglais;3;0;0
A l'Ouest, rien de nouveau;10;2022;28 octobre 2022;148;Drame;Edward Berger;Felix Kammerer;Albrecht Schuch;4,1;Ian Stokell;Allemagne;1113;Allemand, Anglais;9;;1
À mon seul désir;4;2023;5 avril 2023;117;Drame;Lucie Borleteau;Zita Hanrot;Louise Chevillotte;3,4;Lucie Borleteau;France;0;Français;2;3;0
A propos de Joan;9;2022;14 septembre 2022;101;Drame;Laurent Larivière;Isabelle Huppert;Lars Eidinger;2,9;Laurent Larivière;France;2;Français;11;19;0
A Simple Lie;4;2023;8 avril 2023;98;Comédie;Biodun Stephen;Bukunmi Adeaga-Ilori;Bisola Aiyeola;;;Nigéria;0;Anglais;;;
