Titre;genre1;genre2;réalisateur_1;actor_1;actor_2;actor_3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real_awards;first_actor_awards;second_actor_awards;length_corrected;day;month;year;note_spectator_word;nomi
#No_Filter;Epouvante-horreur;Thriller;Michael Dupret;Hannah McIver;Jasmine Daoud;Samuel Van der Zwalmen;;1.6;;Belgique;;Anglais;0.0;0.0;0.0;87;5;mai;2023;bad;0
13 : La comédie musicale;Drame;Famille;Tamra Davis;Eli Golden;Josh Peck;Debra Messing;;2.6;Robert Horn;U.S.A.;;Anglais;1.0;0.0;0.0;94;12;août;2022;soso;0
16 ans;Drame;Romance;Philippe Lioret;Sabrina Levoye;Teïlo Azaïs;Jean-Pierre Lorit;3.2;3.6;Philippe Lioret;France;Paname Distribution;Français;4.0;0.0;0.0;94;4;janvier;2023;good;1
1UP;Comédie;;Kyle Newman;Paris Berelc;Taylor Zakhar Perez;Ruby Rose;;2.2;Julia Yorks;Canada;;Anglais;0.0;0.0;0.0;100;15;juillet;2022;soso;0
365 jours : Au lendemain;Drame;Erotique;Barbara Bialowas;Michele Morrone;Anna-Maria Sieklucka;Simone Susinna;;1.2;Tomasz Mandes;Pologne;;Anglais;0.0;0.0;0.0;106;27;avril;2022;bad;2
365 Jours : L'Année d'Après;Drame;Erotique;Barbara Bialowas;Michele Morrone;Anna-Maria Sieklucka;Simone Susinna;;1.3;Tomasz Mandes;Pologne;;Polonais;0.0;0.0;0.0;112;19;août;2022;bad;2
47 Ronin - Le Sabre de la Vengeance;Action;Fantastique;Ron Yuan;Anna Akana;Mark Dacascos;Teresa Ting;;2.1;John Swetnam;U.S.A.;;Anglais;0.0;0.0;0.0;106;25;janvier;2023;soso;0
99 Moons;Drame;Romance;Jan Gassmann;Valentina Di Pace;Dominik Fellmann;Danny Exnar;2.6;2.6;Jan Gassmann;Suisse;La Vingt-Cinquième Heure;Suisse allemand;3.0;0.0;0.0;111;10;mai;2023;soso;1
À chacun son secret;Policier;;Francis Meletzky;Franziska Hartmann;Stephan Szasz;Hanife Sylejmani;;3.3;Elke Rössler;Allemagne;Arte;Allemand;0.0;0.0;0.0;90;1;décembre;2022;good;0
A Day to Die;Action;Thriller;Wes Miller;Kevin Dillon;Bruce Willis;Gianni Capaldi;;1.3;Scott Mallace;U.S.A.;;Anglais;0.0;6.0;1.0;105;22;juin;2022;bad;0
