Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;nomi;awards
#No_Filter;Epouvante-horreur;Thriller;Michael Dupret;Hannah McIver;Jasmine Daoud;Samuel Van der Zwalmen;;bad;;Belgique;;Anglais;0.0;0.0;0.0;87;5;mai;2023;0;0
13 : La comédie musicale;Drame;Famille;Tamra Davis;Eli Golden;Josh Peck;Debra Messing;;soso;Robert Horn;U.S.A.;;Anglais;1.0;0.0;0.0;94;12;août;2022;0;0
16 ans;Drame;Romance;Philippe Lioret;Sabrina Levoye;Teïlo Azaïs;Jean-Pierre Lorit;3,2;good;Philippe Lioret;France;Paname Distribution;Français;4.0;0.0;0.0;94;4;janvier;2023;1;0
1UP;Comédie;;Kyle Newman;Paris Berelc;Taylor Zakhar Perez;Ruby Rose;;soso;Julia Yorks;Canada;;Anglais;0.0;0.0;0.0;100;15;juillet;2022;0;0
365 jours : Au lendemain;Drame;Erotique;Barbara Bialowas;Michele Morrone;Anna-Maria Sieklucka;Simone Susinna;;bad;Tomasz Mandes;Pologne;;Anglais;0.0;0.0;0.0;106;27;avril;2022;2;0
365 Jours : L'Année d'Après;Drame;Erotique;Barbara Bialowas;Michele Morrone;Anna-Maria Sieklucka;Simone Susinna;;bad;Tomasz Mandes;Pologne;;Polonais;0.0;0.0;0.0;112;19;août;2022;2;0
47 Ronin - Le Sabre de la Vengeance;Action;Fantastique;Ron Yuan;Anna Akana;Mark Dacascos;Teresa Ting;;soso;John Swetnam;U.S.A.;;Anglais;0.0;0.0;0.0;106;25;janvier;2023;0;0
99 Moons;Drame;Romance;Jan Gassmann;Valentina Di Pace;Dominik Fellmann;Danny Exnar;2,6;soso;Jan Gassmann;Suisse;La Vingt-Cinquième Heure;Suisse allemand;3.0;0.0;0.0;111;10;mai;2023;1;0
À chacun son secret;Policier;;Francis Meletzky;Franziska Hartmann;Stephan Szasz;Hanife Sylejmani;;good;Elke Rössler;Allemagne;Arte;Allemand;0.0;0.0;0.0;90;1;décembre;2022;0;0
A Day to Die;Action;Thriller;Wes Miller;Kevin Dillon;Bruce Willis;Gianni Capaldi;;bad;Scott Mallace;U.S.A.;;Anglais;0.0;6.0;1.0;105;22;juin;2022;0;0
A E I O U - L'alphabet rapide de l'amour;Comédie;Romance;Nicolette Krebitz;Sophie Rois;Udo Kier;Milan Herms;2,3;bad;Nicolette Krebitz;Allemagne;Shellac;Allemand;0.0;1.0;1.0;104;21;décembre;2022;9;0
A Human Position;Drame;;Anders Emblem;Amalie Ibsen Jensen;Maria Agwumaro;Lars Halvor Andreassen;;soso;Anders Emblem;Norvège;;Norvégien;0.0;0.0;0.0;78;30;janvier;2023;0;0
A Jazzman's Blues;Policier;Drame;Tyler Perry;Joshua Boone;Amirah Vann;Solea Pfeiffer;;good;Tyler Perry;U.S.A.;;Anglais;3.0;0.0;0.0;127;23;septembre;2022;0;0
A l'Ouest, rien de nouveau;Drame;Historique;Edward Berger;Felix Kammerer;Albrecht Schuch;Aaron Hilmer;;excellent;Ian Stokell;Allemagne;;Allemand;9.0;0.0;1.0;148;28;octobre;2022;24;0
À mon seul désir;Drame;;Lucie Borleteau;Zita Hanrot;Louise Chevillotte;Laure Giappiconi;3,0;good;Lucie Borleteau;France;Pyramide Distribution;Français;2.0;3.0;0.0;117;5;avril;2023;0;0
A propos de Joan;Drame;Romance;Laurent Larivière;Isabelle Huppert;Lars Eidinger;Freya Mavor;2,9;soso;Laurent Larivière;France;Haut et Court;Français;11.0;19.0;0.0;101;14;septembre;2022;2;0
À travers ma fenêtre;Drame;Romance;Marçal Forès;Julio Peña (III);Clara Galle;Pilar Castro;;soso;Marçal Forès;Espagne;;Espagnol;1.0;0.0;0.0;113;4;février;2022;0;0
Aboubakar et moi (Chronique d'un confinement);Drame;Romance;Rémi Lange;Aboubakar Soumahoro;Rémi Lange;Harouna Diarra;;soso;Rémi Lange;France;;Français;0.0;0.0;0.0;87;29;juin;2022;0;0
About Fate;Comédie;Romance;Marius Balchunas;Emma Roberts;Thomas Mann (II);Madelaine Petsch;;soso;Tiffany Paulsen;U.S.A.;;Anglais;0.0;3.0;0.0;100;16;décembre;2022;0;0
About Kim Sohee;Policier;Drame;July Jung;Doona Bae;Kim Si-eun;Choi Hee-jin;3,8;excellent;July Jung;Corée du Sud;Arizona Distribution;Coréen;7.0;0.0;0.0;137;5;avril;2023;2;0
Absolument royal !;Comédie;Romance;Rick Jacobson;Laura Marano;Mena Massoud;Chelsie Preston-Crayford;;soso;Holly Hester;U.S.A.;;Anglais;1.0;0.0;0.0;96;20;janvier;2022;0;0
Acharya;Action;Drame;Koratala Siva;Chiranjeevi Siva Sankara Vara Prasad Konidela;Ram Charan;Pooja Hegde;;soso;Koratala Siva;Inde;Desi Entertainment Paris;Autre;0.0;0.0;0.0;136;29;avril;2022;0;0
Adade Sundara;Comédie;;Vivek Athreya;Nani;Nazriya Nazim;;;soso;;Inde;Friday Entertainment;Tamoul;0.0;0.0;0.0;176;15;juin;2022;0;0
Adam à travers le temps;Action;Aventure;Shawn Levy;Ryan Reynolds;Mark Ruffalo;Jennifer Garner;3,2;good;Jonathan Tropper;U.S.A.;;Anglais;9.0;5.0;4.0;106;11;mars;2022;0;0
After - Chapitre 4;Drame;Romance;Castille Landon;Josephine Langford;Hero Fiennes Tiffin;Louise Lombard;;soso;Sharon Soboil;U.S.A.;;Anglais;0.0;0.0;0.0;95;22;septembre;2022;0;0
Aftersun;Drame;;Charlotte Wells;Paul Mescal;Frankie Corio;Celia Rowlson-Hall;4,0;good;Charlotte Wells;Grande-Bretagne;Condor Distribution / MUBI;Anglais;0.0;1.0;0.0;102;1;février;2023;19;0
Ah Belinda;Comédie;Fantastique;Deniz Yorulmazer;Neslihan Atagül;Serkan Çayoğlu;Necip Memili;;soso;Hakan Bonomo;Turquie;;Turc;0.0;0.0;0.0;97;7;avril;2023;0;0
Ailleurs si j'y suis;Comédie;;François Pirot;Jérémie Renier;Suzanne Clément;Jean-Luc Bideau;3,1;soso;François Pirot;Belgique;UFO Distribution;Français;1.0;5.0;1.0;103;29;mars;2023;0;0
Aime-moi !;Drame;Romance;Eyal Kantor;Yoav Keren;Gal Amitai;Mendi Barsheshet;;soso;Didi Lubetzky;Israël;;Hebreu;0.0;0.0;0.0;88;13;avril;2023;0;0
Aakasam;Drame;Romance;Ra Karthik;Ashok Selvan;Ritu Varma;Aparna;;soso;;Inde;Friday Entertainment;Tamoul;0.0;0.0;0.0;146;9;novembre;2022;0;0
All My Friends Hate Me;Comédie;Epouvante-horreur;Andrew Gaynord;Tom Stourton;Georgina Campbell;Christopher Fairbank;;soso;Tom Stourton;Grande-Bretagne;Filmo;Anglais;0.0;0.0;0.0;93;1;janvier;2023;0;0
Alerte rouge;Animation;Comédie;Domee Shi;Rosalie Chiang;Sandra Oh;Ava Morse;3,7;good;Domee Shi;U.S.A.;;Anglais;0.0;0.0;5.0;100;11;mars;2022;3;0
Alice;Drame;Thriller;Krystin Ver Linden;Keke Palmer;Common;Jonny Lee Miller;;soso;Krystin Ver Linden;U.S.A.;;Anglais;0.0;0.0;0.0;98;26;septembre;2022;1;0
Alitée;Epouvante-horreur;;Lori Evans Taylor;Melissa Barrera;Guy Burnet;Edie Inksetter;;bad;Lori Evans Taylor;U.S.A.;;Anglais;0.0;0.0;0.0;91;4;mai;2023;0;0
Alma Viva;Drame;;Cristèle Alves Meira;Lua Michel;Ana Padrão;Jacqueline Corado;3,3;good;Cristèle Alves Meira;Portugal;Tandem;Portugais;2.0;0.0;0.0;88;12;avril;2023;9;0
Amandla;Policier;Drame;Nerina De Jager;Lemogang Tsipa;Thabo Rametsi;Israel Matseke-Zulu;;soso;Nerina De Jager;Afrique du Sud;;Anglais;0.0;0.0;0.0;106;21;janvier;2022;0;0
Ambulance;Action;Thriller;Michael Bay;Jake Gyllenhaal;Yahya Abdul-Mateen II;Eiza Gonzalez;3,1;soso;Chris Fedak;U.S.A.;Universal Pictures International France;Anglais;3.0;3.0;1.0;136;23;mars;2022;0;0
American Girl;Drame;Thriller;Mike Barker;Mila Kunis;Chiara Aurelia;Finn Wittrock;;good;Jessica Knoll;U.S.A.;;Anglais;0.0;1.0;0.0;115;7;octobre;2022;0;0
Amis d'enfance;Comédie dramatique;;Sam Karmann;Isabelle Gélinas;Nicolas Briançon;Francois Vincentelli;;good;Catherine Wimphen;France;France 2;Français;3.0;1.0;0.0;97;5;juillet;2022;0;0
Amsterdam;Policier;Drame;David O. Russell;Christian Bale;Margot Robbie;John David Washington;2,9;soso;David O. Russell;U.S.A.;The Walt Disney Company France;Anglais;6.0;6.0;12.0;134;1;novembre;2022;1;0
Annie Colère;Comédie dramatique;;Blandine Lenoir;Laure Calamy;Zita Hanrot;India Hair;3,8;good;Blandine Lenoir;France;Diaphana Distribution;Français;5.0;2.0;3.0;120;30;novembre;2022;7;0
Aníkúlápó;Drame;Fantastique;Kunle Afolayan;Bimbo Ademoye;Dele Odule;Kunle Remi;;soso;;Nigéria;;Anglais;0.0;0.0;0.0;142;30;septembre;2022;0;0
Animals;Policier;Drame;Nabil Ben Yadir;Soufiane Chilah;Gianni Guettaf;Vincent Overath;2,1;good;Nabil Ben Yadir;Belgique;JHR Films;Français;1.0;0.0;0.0;92;15;février;2023;0;0
Ante Sundharaniki;Comédie;Romance;Vivek Athreya;Nani;Nazriya Nazim;Bhanu Prakash;;soso;;Inde;Friday Entertainment;Autre;0.0;0.0;0.0;176;10;juin;2022;0;0
Apaches;Drame;Historique;Romain Quirot;Alice Isaaz;Niels Schneider;Rod Paradot;2,8;soso;Romain Quirot;Belgique;Tandem;Français;0.0;1.0;2.0;95;29;mars;2023;0;0
Apples;Comédie;Drame;Christos Nikou;Aris Servetalis;Sofia Georgovassili;Anna Kalaitzidou;2,9;good;Christos Nikou;Grèce;Bodega Films;Grec;0.0;0.0;0.0;90;13;avril;2022;0;0
Après le silence;Drame;;Jérôme Cornuau;Caroline Anglade;Clovis Cornillac;Alice David;3,7;good;Raphaëlle Roudaut;France;France 2;Français;2.0;0.0;7.0;90;16;novembre;2022;0;0
Argentina, 1985;Drame;;Santiago Mitre;Ricardo Darín;Alejandra Flechner;Paula Ransenberg;;good;Mariano Llinás;Argentine;;Espagnol;3.0;1.0;0.0;140;21;octobre;2022;7;0
Ariyippu;Drame;;Mahesh Narayanan;Kunchacko Boban;Faisal Malik;Sidharth Bhardwaj;;soso;Mahesh Narayanan;Inde;;Autre;0.0;0.0;0.0;107;20;décembre;2022;0;0
Armageddon Time;Drame;;James Gray;Anne Hathaway;Jeremy Strong;Banks Repeta;4,4;good;James Gray;U.S.A.;Universal Pictures International France;Anglais;1.0;4.0;1.0;115;9;novembre;2022;8;0
Arthur, malédiction;Epouvante-horreur;;Barthélémy Grossmann;Vadim Agid;Lola Andreoni;Mathieu Berger;1,6;bad;Luc Besson;France;Apollo Films;Français;0.0;0.0;0.0;87;29;juin;2022;0;0
As bestas;Drame;Thriller;Rodrigo Sorogoyen;Marina Foïs;Denis Ménochet;Luis Zahera;4,2;excellent;Isabel Peña;Espagne;Le Pacte;Espagnol;3.0;1.0;1.0;137;20;juillet;2022;4;0
