Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
#Home;18 août 2021; 2h 38min ;Drame;Famille;NA;Rojin Thomas;NA;Indrans;Sreenath Bhasi;Nalsen K. Gafoor;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=295476.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=941367.html;Rojin Thomas;Inde;NA;NA;0;-;Malais;NA;NA;0;NA
'83;23 décembre 2021; 2h 30min ;Biopic;Drame;NA;Kabir Khan;NA;Deepika Padukone;Ranveer Singh;Jiiva;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=275238.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=176702.html;Kabir Khan;Inde;NA;Night ed films;0;-;Hindi, Tamoul;NA;0;0;1
(Nouvelles) Confidences d'une femme mariée;19 juin 2021; Comédie, Historique, Romance;Comédie;Historique;Romance;Lionel Baillemont;NA;Jérémie Hamon;Lauréline Romuald;William Beaux;NA;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=293081.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=704921.html;Lionel Baillemont;France;NA;NA;0;-;Français;NA;0;NA;NA
100% bio;5 janvier 2021; 1h 30min ;Comédie;NA;NA;Fabien Onteniente;NA;Didier Bourdon;Catherine Jacob;Lolita Chammah;NA;1,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=253175.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=2169.html;Fabien Onteniente;France;NA;France 3;0;-;Français;NA;1;1;1
107 Mothers;14 septembre 2022; 1h 33min ;Drame;NA;NA;Péter Kerekes;NA;Maryna Klimova;Iryna Kiryazeva;Lyubov Vasylyna;3,5;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=282292.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=21134.html;Ivan Ostrochovský;Slovaquie;République tchèque;Les Alchimistes;1         3            ;-;Russe, ukrainien;860 entrées;2;NA;NA
12 Mighty Orphans;1 septembre 2021; 1h 58min ;Biopic;Drame;Évènement Sportif;Ty Roberts;NA;Luke Wilson;Robert Duvall;Martin Sheen;NA;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=275746.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=813811.html;Ty Roberts;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;6
12 Theses;16 avril 2022; 1h 43min ;Thriller;NA;NA;Stefan Asang;NA;Dugald Ferguson;Joanna Castelli;Angus Alistair;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=304325.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=964178.html;NA;Allemagne;Suisse;NA;0;-;Anglais;NA;NA;NA;NA
13 Minutes;23 mars 2022; 1h 48min ;Action;Thriller;NA;Lindsay Gossling;NA;Thora Birch;Amy Smart;Anne Heche;NA;1,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=294437.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=828139.html;Lindsay Gossling;Canada;U.S.A.;NA;0;-;Anglais;NA;NA;1;1
1618;30 mai 2023; Divers;Divers;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=305081.html;NA;NA;NA;NA;NA;0;-;-;NA;NA;0;0
355;5 janvier 2022; 2h 03min ;Action;Espionnage;Thriller;Simon Kinberg;NA;Jessica Chastain;Penélope Cruz;Bingbing Fan;2,8;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=264475.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=89183.html;Theresa Rebeck;U.S.A.;NA;SND;1           ;-;Anglais, Français;229 660 entrées;3;6;9
5 Histoires Macabre;31 octobre 2021; Epouvante-horreur;Epouvante-horreur;NA;NA;Kim Westerlund;Jan Verdijk;NA;NA;NA;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=296965.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=945598.html;NA;Finlande;Pays-Bas;Origine Films;0;-;Autre;NA;NA;0;0
500 mètres sous Terre;3 août 2022; 1h 54min ;Action;NA;NA;Kim Ji-hoon;NA;Seung-Won Cha;Seong-gyoon Kim;Kwang-Soo Lee;NA;2,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=294197.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=522681.html;Cheol-Hong Jeon;Corée du Sud;NA;The Jokers / Les Bookmakers;1           ;-;Coréen;NA;NA;0;0
5ème Set;16 juin 2021; 1h 45min ;Drame;Évènement Sportif;NA;Quentin Reynaud;NA;Alex Lutz;Ana Girardot;Kristin Scott Thomas;3,6;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=275419.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=452634.html;NA;France;NA;Apollo Films;1           ;-;Français;52 439 entrées;1;2;1
7 Femmes;28 décembre 2022; 1h 22min ;Comédie;Policier;Thriller;Alessandro Genovesi;NA;Margherita Buy;Diana Del Bufalo;Sabrina Impacciatore;NA;1,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=299769.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=713825.html;Alessandro Genovesi;Italie;NA;NA;0;-;Italien;NA;0;1;0
7 Prisonniers;11 novembre 2021; 1h 33min ;Drame;NA;NA;Alexandre Moratto;NA;Cecília Homem de Mello;Christian Malheiros;Lucas Oranmian;NA;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=289512.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=853104.html;Alexandre Moratto;Brésil;NA;NA;1           ;-;Portugais;NA;NA;0;NA
8 Rue de l'Humanité;20 octobre 2021; 2h 05min ;Comédie;NA;NA;Dany Boon;NA;Dany Boon;François Damiens;Laurence Arné;2,0;1,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=283590.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=37979.html;Dany Boon;France;NA;NA;0;-;Français;NA;8;8;2
A Chiara;13 avril 2022; 2h 02min ;Drame;NA;NA;Jonas Carpignano;NA;Swamy Rotolo;Claudio Rotolo;Grecia Rotolo;3,7;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=280841.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=682124.html;Jonas Carpignano;Italie;France;Haut et Court;1         1           ;-;Italien;32 007 entrées;3;NA;NA
A Classic Horror Story;23 septembre 2021; 1h 35min ;Epouvante-horreur;NA;NA;Roberto De Feo;Paolo Strippoli;Matilda Lutz;Francesco Russo;Peppino Mazzotta;NA;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=290728.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=880219.html;Roberto De Feo;Italie;NA;NA;0;-;Italien, Anglais;NA;NA;0;NA
À corps perdu;1 mars 2023; 1h 56min ;Drame;NA;NA;Sabrina Sarabi;NA;Saskia Rosendahl;Rick Okon;Godehard Giese;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=290601.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=812371.html;Sabrina Sarabi;Allemagne;NA;NA;0;-;Allemand;NA;NA;0;NA
A en soulever des montagnes;17 septembre 2021; 1h 48min ;Drame;Thriller;NA;Daniel Sandu;NA;Adrian Titieni;Elena Purea;Judith State;NA;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=293771.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=748984.html;Daniel Sandu;Roumanie;Suède;NA;0;1,8 M€;Roumain;NA;NA;0;NA
À Fond les Biberons;21 février 2022; 1h 48min ;Comédie;NA;NA;Martin Schreier;NA;Emilio Sakraya;Andreas Helgi Schmid;Carol Schuler;NA;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=293260.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=648133.html;Murmel Clausen;Allemagne;NA;NA;0;-;Allemand;NA;0;0;NA
A House on the Bayou;3 mars 2022; Epouvante-horreur, Thriller;Epouvante-horreur;Thriller;NA;Alex McAulay;NA;Angela Sarafyan;Paul Schneider;Lia McHugh;NA;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=291319.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=195971.html;Alex McAulay;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
A Journal for Jordan;3 octobre 2022; 2h 11min ;Biopic;Drame;Romance;Denzel Washington;NA;Michael B. Jordan;Chanté Adams;Tamara Tunie;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=262221.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=8504.html;Virgil Williams;U.S.A.;NA;NA;0;-;Anglais;NA;8;2;0
A la folie;6 septembre 2022; 1h 30min ;Drame;NA;NA;Andréa Bescond;Eric Métayer;Marie Gillain;Alexis Michalik;Ahmed Sylla;4,2;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=287214.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=811934.html;Eléonore Bauer;France;NA;M6;0;-;Français;NA;2;2;2
A la recherche de mon père Noël;2 décembre 2021; 1h 30min ;Romance;NA;NA;Sharon Lewis;NA;Alicia Dea Josipovic;Travis Nelson;Laura Cilevitz;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=298392.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=254243.html;NA;U.S.A.;NA;TF1;0;-;Anglais;NA;0;NA;0
À mon tour;5 janvier 2022; 1h 30min ;Comédie dramatique;NA;NA;Frédéric Berthe;NA;François-Xavier Demaison;Isabelle Gélinas;Oscar Berthe;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=294456.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=86396.html;Mickaël Quiroga;France;NA;France 2;0;-;Français;NA;1;3;1
A Noël mon Prince viendra 3;23 décembre 2021; 1h 30min ;Romance;NA;NA;Marco Deufemia;NA;Kaitlyn Leeb;Nick Hounslow;Josh Dean;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=299132.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=856501.html;NA;U.S.A.;NA;M6;0;-;Afrikaans;NA;0;0;NA
A Nuvem Rosa;7 mars 2022; 1h 45min ;Drame;NA;NA;Iuli Gerbase;NA;Renata de Lélis;Eduardo Mendonça;Helena Becker;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=288921.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=588349.html;Iuli Gerbase;Brésil;NA;NA;0;-;Portugais, Anglais;NA;NA;NA;NA
A Perfect Fit;24 octobre 2022; 1h 52min ;Comédie;Drame;Romance;Hadrah Daeng Ratu;NA;Nadya Arina;Refal Hady;Christine Hakim;NA;2,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=290776.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=927303.html;Garin Nugroho;Indonésie;NA;NA;0;-;Indonésien;NA;NA;NA;NA
