Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Polaris;21 juin 2023; 1h 18min ;Documentaire;NA;NA;Ainara Vera;NA;NA;NA;NA;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=287639.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=808183.html;NA;France;Danemark;Jour2fête;1           ;-;Français, Anglais;NA;NA;0;0
38°5 quai des orfèvres;21 juin 2023; 1h 24min ;Comédie;Policier;NA;Benjamin Lehrer;NA;Didier Bourdon;Caroline Anglade;Yann Papin;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=299767.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=617091.html;Benjamin Lehrer;France;NA;KMBO;1         2            ;2,7 M€;Français;NA;0;1;0
Tout Le Monde M'appelle Mike;5 juillet 2023; Thriller;Thriller;NA;NA;Guillaume Bonnier;NA;Abdirisak Mohamed;Daphne Patakia;Pierre Lottin;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=275141.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=45418.html;NA;France;NA;À Vif Cinémas / The Dark;      ;1,1 M€;Français;NA;0;NA;0
Vers un avenir radieux;28 juin 2023; 1h 36min ;Comédie;Comédie dramatique;Drame;Nanni Moretti;NA;Nanni Moretti;Margherita Buy;Silvio Orlando;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=304632.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=4569.html;Francesca Marciano;Italie;NA;Le Pacte;5            ;-;Italien;NA;7;7;1
The Flash;14 juin 2023; 2h 24min ;Action;Fantastique;Science Fiction;Andy Muschietti;NA;Ezra Miller;Michael Keaton;Ben Affleck;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=59075.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=533963.html;Christina Hodson;U.S.A.;NA;Warner Bros. France;0;-;Anglais;NA;3;1;4
SISU - De l'Or et du Sang;21 juin 2023; 1h 31min ;Action;Guerre;NA;Jalmari Helander;NA;Jorma Tommila;Aksel Hennie;Jack Doolan;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=293633.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=187789.html;Jalmari Helander;Finlande;NA;SND;0;-;Anglais;NA;6;0;1
Rien à Perdre;22 novembre 2023; 1h 52min ;Drame;NA;NA;Delphine Deloget;NA;Virginie Efira;Félix Lefebvre;Arieh Worthalter;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=298732.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=238424.html;Delphine Deloget;France;NA;Ad Vitam;7            ;-;Français;NA;0;2;1
La Beauté du geste;15 novembre 2023; 1h 39min ;Drame;NA;NA;Sho Miyake;NA;Yukino Kishii;Tomokazu Miura;Masaki Miura;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=300262.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=588223.html;NA;Japon;France;Art House;1           ;-;Japonais;NA;4;NA;0
Le Processus de paix;14 juin 2023; 1h 32min ;Drame;Romance;NA;Ilan Klipper;NA;Camille Chamoux;Damien Bonnard;Jeanne Balibar;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=290254.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=415195.html;Ilan Klipper;France;NA;Le Pacte;0;-;Français;NA;1;0;1
Il Boemo;21 juin 2023; Biopic, Historique;Biopic;Historique;NA;Petr Václav;NA;Vojtěch Dyk;Barbara Ronchi;Elena Radonicich;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=306841.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=24992.html;Petr Václav;République tchèque;Italie;Nour Films;0;-;Italien;NA;1;NA;0
