Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
« Peu m'importe si l'Histoire nous considère comme des barbares »;20 février 2019; 2h 19min ;Comédie;Drame;NA;Radu Jude;NA;Ioana Iacob;Alexandru Dabija;Alexandru Bogdan;3,8;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=266037.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=182821.html;Radu Jude;Roumanie;France;Météore Films;0;-;Roumain;901 entrées;6;0;0
# Pire soirée;2 août 2017; 1h 41min ;Comédie;NA;NA;Lucia Aniello;NA;Scarlett Johansson;Kate McKinnon;Jillian Bell;1,6;1,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=243742.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=671763.html;Lucia Aniello;U.S.A.;NA;Sony Pictures Releasing France;0;$20,000,000;Anglais;97 842 entrées;2;3;1
#Alive;23 septembre 2021; 1h 38min ;Action;Drame;Epouvante-horreur;Hyung-cho Il;NA;Ah-In Yoo;Shin-Hye Park;Hyun-Wook Lee;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=283365.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=507000.html;Hyung-cho Il;Corée du Sud;NA;Netflix;0;-;Coréen;NA;NA;0;NA
#Amour et déconnexion;31 mai 2021; 1h 30min ;Famille;NA;NA;Bradford May;NA;Mischa Barton;Sean Faris;B.J. Mitchell;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=290160.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=56737.html;NA;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
#Chef;29 octobre 2014; 1h 54min ;Comédie;Drame;NA;Jon Favreau;NA;Jon Favreau;John Leguizamo;Sofia Vergara;2,8;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=221413.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=24377.html;Jon Favreau;U.S.A.;NA;Sony Pictures Releasing France;1           ;-;Anglais;15 801 entrées;6;6;4
#FriendButMarried;14 novembre 2022; 1h 42min ;Biopic;Comédie dramatique;Romance;Rako Prijanto;NA;Adipati Dolken;Vanesha Prescilla;Refal Hady;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=288447.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=920115.html;NA;Indonésie;NA;NA;0;-;Indonésien;NA;NA;0;0
#Home;18 août 2021; 2h 38min ;Drame;Famille;NA;Rojin Thomas;NA;Indrans;Sreenath Bhasi;Nalsen K. Gafoor;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=295476.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=941367.html;Rojin Thomas;Inde;NA;NA;0;-;Malais;NA;NA;0;NA
#Horror;27 janvier 2019; 1h 30min ;Drame;Epouvante-horreur;Thriller;Tara Subkoff;NA;Mina Sundwall;Bridget McGarry;Haley Murphy;NA;1,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=241718.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=102643.html;Tara Subkoff;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
#Jesuislà;5 février 2020; 1h 38min ;Comédie;Romance;NA;Eric Lartigau;NA;Alain Chabat;Doona Bae;Blanche Gardin;3,0;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=267615.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=81809.html;Eric Lartigau;France;Belgique;Gaumont Distribution;0;-;Coréen, Français;193 851 entrées;13;2;0
#Moscou-Royan;21 novembre 2018; 1h 23min ;Comédie;NA;NA;Elena Cosson Kizilova;NA;Elena Cosson Kizilova;Donia Eden;Manuel Sorroche;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=267586.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=850233.html;Elena Cosson Kizilova;France;NA;Leva Productions;0;-;Français;NA;NA;NA;0
#No_Filter;5 mai 2023; 1h 27min ;Epouvante-horreur;Thriller;NA;Michael Dupret;NA;Hannah McIver;Jasmine Daoud;Samuel Van der Zwalmen;NA;1,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=305386.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=967012.html;NA;Belgique;NA;NA;0;-;Anglais;NA;NA;NA;NA
#REALITYHIGH;28 avril 2020; 1h 40min ;Comédie;NA;NA;Fernando Lebrija;NA;Nesta Cooper;Kate Walsh;Anne Winters;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=258484.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=736688.html;Brandon Broussard;U.S.A.;NA;Netflix France;0;-;Anglais;NA;0;0;1
'71;2 septembre 2014; 1h 44min ;Action;Drame;Guerre;Yann Demange;NA;Jack O'Connell;Paul Anderson;Sam Reid;3,9;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=225948.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=223178.html;Gregory Burke;Grande-Bretagne;NA;Ad Vitam;1         18            ;-;Anglais;NA;1;1;0
'76;9 août 2021; 1h 58min ;Drame;Romance;NA;Izu Ojukwu;NA;Ramsey Nouah;Rita Dominic;Chidi Mokeme;NA;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=260506.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=228683.html;Emmanuel Okimanyi;Nigéria;NA;NA;0;-;Anglais, Dialecte africain;NA;NA;0;0
'83;23 décembre 2021; 2h 30min ;Biopic;Drame;NA;Kabir Khan;NA;Deepika Padukone;Ranveer Singh;Jiiva;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=275238.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=176702.html;Kabir Khan;Inde;NA;Night ed films;0;-;Hindi, Tamoul;NA;0;0;1
A Scanner Darkly;13 septembre 2006; 1h 40min ;Animation;Science Fiction;NA;Richard Linklater;NA;Keanu Reeves;Winona Ryder;Robert Downey Jr.;3,2;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=56561.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=86146.html;Richard Linklater;U.S.A.;NA;Warner Bros. France;6            ;8 500 000 $;Anglais;NA;6;7;1
A Scene at the Sea;23 juin 1999; 1h 40min ;Comédie dramatique;Romance;NA;Takeshi Kitano;NA;Kuroudo Maki;Hiroko Oshima;Sabu Kawahara;3,6;4,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=15911.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=16070.html;Takeshi Kitano;Japon;NA;Les Bookmakers / La Rabbia;0;-;Japonais;NA;3;0;0
A second chance;13 janvier 2016; 1h 42min ;Drame;Thriller;NA;Susanne Bier;NA;Nikolaj Coster-Waldau;Maria Bonnevie;Ulrich Thomsen;2,5;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=225393.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3877.html;Anders Thomas Jensen;Danemark;NA;KMBO;1         3            ;35 000 000 DKK;Danois, Suédois;11 245 entrées;6;2;0
